des,motor,enc
0,129,859
0,129,859
0,129,858
0,129,859
0,129,859
0,129,859
0,129,858
0,129,859
0,129,859
0,129,859
0,129,859
0,129,859
0,129,858
0,129,859
0,129,858
0,129,859
0,129,859
0,129,859
0,129,859
0,129,858
0,129,859
0,129,858
0,129,858
0,129,859
0,129,859
0,129,859
0,129,858
0,129,858
0,129,859
0,129,859
0,129,859
1,129,858
2,65,859
3,125,859
4,193,857
5,258,858
6,320,860
7,381,859
8,449,857
9,514,858
10,576,859
11,637,858
12,705,856
13,770,857
14,832,858
15,893,858
16,961,855
17,1026,856
18,1088,857
19,1149,856
20,1217,854
21,1282,855
22,1344,856
23,1405,854
24,1472,853
25,1538,853
26,1600,854
27,1661,853
28,1728,851
29,1794,851
30,1856,852
31,1917,851
32,1984,848
33,2050,849
34,2112,850
35,2173,848
36,2240,846
37,2306,846
38,2368,847
39,2429,845
40,2496,843
41,2561,844
42,2624,844
43,2685,842
44,2752,840
45,2816,840
46,2879,840
47,2941,838
48,3008,836
49,3070,836
50,3133,836
51,3196,833
52,3264,832
53,3326,832
54,3389,831
55,3452,828
56,3520,827
57,3581,827
58,3645,826
59,3707,823
60,3776,821
61,3837,821
62,3901,820
63,3963,817
64,4032,814
65,4092,814
66,4157,813
67,4218,810
68,4285,806
69,4348,805
70,4412,804
71,4474,800
72,4541,797
73,4604,795
74,4668,794
75,4730,790
76,4797,786
77,4860,784
78,4925,783
79,4986,780
80,5053,776
81,5115,773
82,5180,771
83,5243,768
84,5309,764
85,5370,762
86,5435,760
87,5498,755
88,5565,752
89,5626,750
89,5689,748
89,5689,749
89,5689,749
89,5690,749
89,5690,749
89,5690,750
89,5690,750
88,5690,750
87,5627,755
86,5568,759
85,5501,763
84,5440,767
83,5377,770
82,5313,771
81,5245,775
80,5184,779
79,5121,781
78,5057,781
77,4989,785
76,4928,790
75,4865,792
74,4802,792
73,4733,796
72,4672,801
71,4610,802
70,4546,802
69,4477,805
68,4416,809
67,4354,811
66,4290,810
65,4221,813
64,4160,818
63,4098,819
62,4033,819
61,3965,821
60,3904,825
59,3842,826
58,3777,826
57,3709,828
56,3649,831
55,3586,831
54,3521,831
53,3456,833
52,3393,836
51,3330,836
50,3265,836
49,3200,838
48,3137,840
47,3074,840
46,3009,839
45,2944,841
44,2881,843
43,2818,843
42,2753,843
41,2689,845
40,2625,846
39,2562,847
38,2497,846
37,2433,847
36,2369,849
35,2306,849
34,2241,848
33,2177,850
32,2113,851
31,2050,851
30,1985,850
29,1921,852
28,1857,853
27,1794,853
26,1729,852
25,1665,854
24,1601,855
23,1538,855
22,1473,854
21,1409,855
20,1345,856
19,1282,856
18,1217,855
17,1153,856
16,1089,857
15,1026,857
14,961,856
13,897,858
12,833,859
11,770,858
10,705,857
9,641,858
8,577,859
7,514,859
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
